0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,146,147,148,149,150,250,251,252,253,354,355,356,357,358,359,360,462,463,464
Funct,Pronoun,Ppron,I,We,You,SheHe,They,Ipron,Article,Verbs,AuxVb,Past,Present,Future,Adverbs,Prep,Conj,Negate,Quant,Numbers,Swear,Social,Family,Friends,Humans,Affect,Posemo,Negemo,Anx,Anger,Sad,CogMech,Insight,Cause,Discrep,Tentat,Certain,Inhib,Incl,Excl,Percept,See,Hear,Feel,Bio,Body,Health,Sexual,Ingest,Relativ,Motion,Space,Time,Work,Achiev,Leisure,Home,Money,Relig,Death,Assent,Nonflu,Filler
a,anybod*,hed,i,lets,thee,he,their*,anybod*,a,accepted,aint,accepted,admit,couldve,about,about,also,aint,all,billion*,arse,acquainta*,aunt*,acquainta*,adult,abandon*,accept,abandon*,afraid,abuse*,abandon*,abandon*,accept,activat*,besides,allot,absolute,abandon*,add,but,acid*,beaut*,audibl*,brush*,abdomen*,abdomen*,abortion*,abortion*,alcohol*,above,act,above,abrupt*,absent*,abilit*,actor*,address,account*,afterlife*,autops*,absolutely,er,blah
about,anyone*,he'd,Id,let's,thine,hed,them,anyone*,alot,admit,ain't,admitted,admits,could've,absolutely,above,although,ain't,allot,dozen*,arsehole*,admit,bro,amigo*,adults,abuse*,accepta*,abuse*,alarm*,abusi*,ache*,absolute,accepta*,affect,could,almost,absolutely,abstain*,addit*,either,acrid*,black,audio*,caress*,abortion*,abs,ache*,aids,anorexi*,abrupt*,action*,across,after,academ*,able*,actress*,apartment*,atm,agnost*,alive,agree,hm*,idontknow
above,anything,her,I'd,our,thou,he'd,themselves,anything,an,admits,am,affected,aint,gonna,actually,across,and,arent,alot,eight*,arses,admits,bros,bf*,babe*,abusi*,accepted,abusi*,anguish*,aggravat*,aching,absolutely,accepted,affected,couldnt,alot,accura*,anal,along,except,aroma*,blacke*,boom*,cold*,abs,anal,aching,arous*,appeti*,across,advanc*,air,afterlife*,accomplish*,accomplish*,aerobic*,backyard,atms,alla,bereave*,ah,sigh,imean
absolutely,everybod*,hers,I'll,ours,thoust,her,they,everybod*,the,admitted,are,appeared,ain't,gotta,again,after,as,aren't,amount*,eleven,ass,admitted,brother*,boyf*,babies,accept,accepting,ache*,anxi*,aggress*,agoniz*,abstain*,accepting,affecting,couldn't,ambigu*,all,avert*,and,exclu*,audibl*,blackish*,choir*,cool*,ache*,ankle*,acne,ass,ate,act,appear,among*,aftermath*,achiev*,ace,amus*,bake*,auction*,allah*,burial*,alright*,uh,like
across,everyone*,herself,Im,ourselves,thy,hers,theyd,everyone*,n/a,affected,arent,arrived,am,he'll,also,against,altho ,cannot,another,fift*,asses,admitting,cousin*,bud,baby*,accepta*,accepts,aching,apprehens*,agitat*,agony,accept,accepts,affects,couldve,any,altogether,avoid*,around,if,audio*,blacks,concert*,drie*,aching,anus*,addict*,asses,bake*,action*,appeared,anywhere,afternoon*,administrat*,achiev*,apartment*,baking,audit,altar*,buried,aok,um,ohwell
actually,everything*,hes,I'm,us,ya,herself,they'd,everything*,n/a,aint,aren't,asked,appear,I'll,anyway*,ahead,because,cant,any,first,asshole*,adult,dad*,buddies*,bambino*,accepted,active*,advers*,asham*,anger*,alone,accepta*,acknowledg*,aggravat*,could've,anybod*,always,ban,both,just,beaut*,blind*,deaf*,drily,acne,appendix,advil,bi,baking,advanc*,appearing,apart,afterthought*,advertising,acquir*,art,balcon*,audited,amen,bury,aw,umm*,rr*
after,hed,he's,ive,we,yall,hes,theyll,it,n/a,ain't,be,ate,appears,itll,anywhere,along,but,can't,anymore,firstly,bastard*,adults,daughter*,buddy*,boy,accepting,admir*,afraid,aversi*,angr*,broke,accepted,adjust*,allow*,desir*,anyhow,apparent,banned,came,not,bitter*,blond*,ear,dry*,addict*,arch,aids,boner*,bar,after,appears,area*,afterward*,advis*,acquisition*,artist*,bath*,auditing,amish,casket*,awesome,well,yakno*
again,he'd,him,I've,we'd,y'all,he's,they'll,itd,n/a,am,became,became,are,it'll,apparently,among*,cuz,couldnt,besides,firsts,bitch*,advice,ex,colleague*,boy's,accepts,ador*,aggravat*,avoid*,annoy*,cried,accepting,admit,attribut*,expect*,anyone*,assur*,banning,close,or,black,blue*,ears,edge,advil,arm,alcohol*,boob*,bars,afterlife*,approach*,around,again,agent,adequa*,arts,bed,auditor,angel,casualt*,cool,zz*,ykn*
